investor,year,weighted_score
"Adams Asset Advisors, LLC",2015,26.42829471425657
"SCHARF INVESTMENTS, LLC",2017,26.41493090965255
"Boyle Capital Management, LLC",2013,26.41007876754705
"Two Creeks Capital Management, LP",2015,26.408458351917528
UNITED FIRE GROUP INC,2017,26.379945372379698
"Coho Partners, Ltd.",2015,26.371870866977964
Manchester Capital Management LLC,2013,26.369938360694093
HUTCHINSON CAPITAL MANAGEMENT/CA,2015,26.368125301843882
Spears Abacus Advisors LLC,2013,26.364302744282995
"Sanders Capital, LLC",2017,26.319274061785222
LYNCH & ASSOCIATES/IN,2015,26.310222238257815
Orbis Financial Ltd,2015,26.274512214000158
Hendershot Investments Inc.,2013,26.226023425513578
PROFESSIONAL ADVISORY SERVICES INC,2013,26.18198343017589
GARLAND CAPITAL MANAGEMENT INC,2015,26.179304869669878
"ATLANTIC INVESTMENT MANAGEMENT, INC.",2017,26.177027194339097
"REIK & CO., LLC",2017,26.15657445988392
Veritas Investment Management (UK) Ltd,2017,26.13825114028065
"HAMEL ASSOCIATES, INC.",2015,26.136071097999576
Edinburgh Partners Ltd,2015,26.130882260153516
GARCIA HAMILTON & ASSOCIATES LP/DE,2013,26.130383654737464
"Provident Investment Management, Inc.",2017,26.130366516229767
"OAKTOP CAPITAL MANAGEMENT II, L.P.",2013,26.10699119628136
Guinness Atkinson Asset Management Inc,2017,26.087824132443448
"Beech Hill Advisors, Inc.",2017,26.08691455296059
FFCM LLC,2017,26.080494002217012
MAR VISTA INVESTMENT PARTNERS LLC,2013,26.078333134827048
MENORA MIVTACHIM HOLDINGS LTD.,2013,26.056067434902367
ISF Management LLC,2015,26.045346402173287
"REDWOOD CAPITAL MANAGEMENT, LLC",2015,26.04297225215023
"SUMMIT SECURITIES GROUP, LLC",2017,26.04153331594163
"TCTC Holdings, LLC",2015,25.995146744887634
ARGONAUT CAPITAL MANAGEMENT CORP,2015,25.975573540294405
VALLEY FORGE ASSET MANAGEMENT CORP /PA/,2013,25.958773385925316
GRAND JEAN CAPITAL MANAGEMENT INC,2013,25.950170209798884
Bedell Investment Counselling,2013,25.950118730114063
