,investor,year,weighted_score
8884,"Jasper Ridge Partners, L.P.",2013,15.714612280919434
13774,Rathbone Brothers plc,2013,15.544887725470318
10187,MARSHWINDS ADVISORY CO,2013,15.538090462558872
8564,"International Value Advisers, LLC",2013,15.454014307769746
7504,HARBOUR INVESTMENT MANAGEMENT LLC,2013,15.452116622839414
1924,BRADLEY FOSTER & SARGENT INC/CT,2013,15.353409135978955
17999,iAB Financial Bank,2013,15.306213523681517
17500,"WMS Partners, LLC",2013,15.09851889124056
4721,DAVIDSON & GARRARD INC,2013,15.08420720865773
5188,"Douglass Winthrop Advisors, LLC",2013,15.065360405415083
3053,CATAWBA CAPITAL MANAGEMENT /VA,2013,14.971973083487605
9793,"Liberty Capital Management, Inc.",2013,14.965192145026727
15015,Sabal Trust CO,2013,14.955131840457552
4763,DE BURLO GROUP INC,2013,14.947736261447647
10503,MONETARY MANAGEMENT GROUP INC,2013,14.937175927176101
15121,Sather Financial Group Inc,2013,14.918837396566444
5448,EVERETT HARRIS & CO /CA/,2013,14.895875115101472
6443,"First Pacific Advisors, LLC",2013,14.865208526729765
6052,FJARDE AP-FONDEN /FOURTH SWEDISH NATIONAL PENSION FUND,2013,14.798036745615535
3561,"CORDA Investment Management, LLC.",2013,14.772253005366009
5479,EXXONMOBIL INVESTMENT MANAGEMENT INC /TX,2013,14.768924099381977
14275,SEAWARD MANAGEMENT LIMITED PARTNERSHIP,2013,14.763442446156976
13967,"Rock Point Advisors, LLC",2013,14.746232510019066
15972,THOMAS STORY & SON LLC,2013,14.70957347496504
14180,SCHAPER BENZ & WISE INVESTMENT COUNSEL INC/WI,2013,14.660857610994327
16732,"UNITED BANK, INC.",2013,14.56181883056985
1729,BILL & MELINDA GATES FOUNDATION TRUST,2013,14.437870772952342
3010,CARDEROCK CAPITAL MANAGEMENT INC,2013,14.408168291063294
1260,"Ashfield Capital Partners, LLC",2013,14.318656446103478
6570,"Foyston, Gordon, & Payne Inc",2013,14.303640882276936
12664,"Palisade Asset Management, LLC",2013,14.273026611951277
603,ARMSTRONG SHAW ASSOCIATES INC/CT,2013,14.238545326784271
1742,BIRINYI ASSOCIATES INC,2013,14.15879310855868
621,ARROWGRASS CAPITAL PARTNERS LLP,2013,14.145676173512266
5798,FARMERS TRUST CO,2013,14.11903913611928
17279,WELCH & FORBES LLC,2013,14.107093815173874
13223,"Puplava Financial Services, Inc.",2013,14.02018788824
6121,FORTALEZA ASSET MANAGEMENT INC/,2013,13.670755502067397
7777,HOTCHKIS & WILEY CAPITAL MANAGEMENT LLC,2013,13.57336682825547
6354,FineMark National Bank & Trust,2013,13.558282429252952
10607,"MU Investments Co., Ltd.",2013,13.549896737889064
242,"AJO, LP",2013,13.541330477906042
9387,LAWSON KROEKER INVESTMENT MANAGEMENT INC/NE,2013,13.526335132721712
14806,STEADFAST CAPITAL MANAGEMENT LP,2013,13.421097528133478
6943,GRAYBILL BARTZ & ASSOC LTD,2013,13.406760675830897
14517,SIRIOS CAPITAL MANAGEMENT L P,2013,13.379273205952304
13592,ROBERTS GLORE & CO INC /IL/,2013,13.305823981069357
16859,VALUEWORKS LLC,2013,13.227497786026454
4774,DEARBORN PARTNERS LLC,2013,13.14093872712532
15626,"Sterling Investment Management, Inc.",2013,13.087868982269494
5905,FINANCIAL PARTNERS CAPITAL MANAGEMENT LLC,2013,13.08766840946784
8407,INVESTMENT HOUSE LLC,2013,13.059396387366569
8507,Independence Trust CO,2013,12.999418024242033
8165,Hollow Brook Wealth Management LLC,2013,12.97058658574358
5500,"East Coast Asset Management, LLC.",2013,12.949948092168642
4282,"Cohen Klingenstein, LLC",2013,12.902243347317226
16384,Tekla Capital Management LLC,2013,12.876168841273524
3310,CLARK ESTATES INC/NY,2013,12.873250669491785
17269,WEIK INVESTMENT SERVICES INC,2013,12.746413970542875
14100,SAN FRANCISCO SENTRY INVESTMENT GROUP (CA),2013,12.716614365675433
10245,MASTERS CAPITAL MANAGEMENT LLC,2013,12.673466100361779
4093,CenturyLink Investment Management Co,2013,12.672517715500016
9177,Kemper Corp Master Retirement Trust,2013,12.664835715761477
10106,MARATHON ASSET MANAGEMENT LLP,2013,12.644290149801238
